energy,sigma
0.0145521,0.00558268
0.014559,0.00588698
0.014566,0.00621837
0.0145729,0.00658017
0.0145797,0.00696393
0.0145863,0.00737717
0.014593,0.00783005
0.0145996,0.00832802
0.0146063,0.00887676
0.0146128,0.00946853
0.0146189,0.0100927
0.0146251,0.0107807
0.0146313,0.0115434
0.0146375,0.0123941
0.0146437,0.0133453
0.0146478,0.0140432
0.0146519,0.0147985
0.014656,0.0156179
0.0146602,0.0165085
0.0146643,0.0174791
0.0146684,0.0185393
0.0146725,0.0197006
0.0146767,0.0209761
0.014681,0.0224552
0.0146853,0.0240972
0.0146896,0.0259267
0.014694,0.0279745
0.0146968,0.0294795
0.0147008,0.0317265
0.0147039,0.0336881
0.0147069,0.0358383
0.01471,0.0382015
0.0147131,0.0408071
0.0147162,0.0436886
0.0147196,0.0471567
0.0147218,0.0497018
0.014724,0.0524568
0.0147262,0.0554451
0.0147285,0.058694
0.0147307,0.0622344
0.0147329,0.0661022
0.0147349,0.0698482
0.0147375,0.0752617
0.0147401,0.0813202
0.0147418,0.0857676
0.0147435,0.0905833
0.0147453,0.0958074
0.014747,0.101486
0.0147486,0.107212
0.0147501,0.112927
0.0147516,0.119097
0.0147531,0.12577
0.0147546,0.133
0.014756,0.140846
0.0147575,0.149378
0.014759,0.158672
0.0147603,0.167643
0.0147621,0.180552
0.0147638,0.194914
0.0147655,0.210931
0.0147667,0.222643
0.0147678,0.235275
0.0147694,0.254564
0.0147708,0.272601
0.0147722,0.292394
0.0147735,0.314132
