Run ID,40Ar,40Ar_err,39Ar,39Ar_err,38Ar,38Ar_err,37Ar,37Ar_err,36Ar,36Ar_err
37050-39 ,13.41245,0.0051196,3.7769,0.0017128,0.0410768,0.0002711,0.0623439,0.0001677,0.0001129,0.0000256
37050-40 ,13.39599,0.0052173,3.75134,0.0021108,0.0366841,0.0003209,0.0595173,0.0001827,0.0000297,0.0000256
37050-41 ,12.48222,0.005022,3.452653,0.0018122,0.0367422,0.0002213,0.0575819,0.0001786,0.0006201,0.0000264
37050-43 ,8.280073,0.0040522,2.311734,0.0014151,0.0243163,0.0001816,0.0374067,0.0001506,0.0000526,0.0000233
37050-44 ,12.44226,0.0051196,3.467832,0.0022104,0.032358,0.0003608,0.0568235,0.000175,0.0001099,0.0000241
37050-45 ,13.87684,0.0052173,3.880326,0.0023101,0.0415001,0.000281,0.063883,0.0001803,0.0001006,0.0000256
37050-46 ,23.56699,0.0091662,6.610213,0.0030085,0.0700177,0.0004107,0.1291856,0.0002268,0.0001813,0.000028
37050-47 ,13.00409,0.005022,3.64216,0.0019117,0.0374374,0.0001322,0.0633544,0.0001668,0.0001818,0.0000248
37051-01 ,9.574622,0.0039812,2.662627,0.001403,0.0272647,0.0001809,0.0410547,0.0002471,0.0001796,0.0000233
37051-03 ,6.51228,0.0036878,1.828951,0.0008244,0.0176152,0.0001312,0.0290681,0.0002024,0.0000411,0.000022
37051-06 ,8.296881,0.0038833,2.324377,0.001403,0.0232297,0.0001511,0.0343088,0.0002423,0.0000797,0.0000227
37051-07 ,6.941984,0.0033956,1.946645,0.0012033,0.0190262,0.000161,0.0301072,0.0002429,0.0000947,0.0000233
37051-14 ,8.209441,0.0039812,2.287628,0.0017028,0.0226124,0.0002008,0.0383233,0.0002748,0.0001053,0.0000227
37051-16 ,3.346957,0.0027203,0.9373917,0.0006355,0.0099373,0.0000513,0.0159894,0.0001956,0.0000412,0.0000202
37051-20 ,6.785529,0.0032016,1.904088,0.0011035,0.019216,0.000171,0.02959,0.000236,0.0000159,0.000022
37051-23 ,3.438852,0.0023409,0.9651138,0.000705,0.0102512,0.0000713,0.0174203,0.0002048,5.40E-06,0.0000202
37051-26 ,5.449837,0.0031048,1.53459,0.0009141,0.0157234,0.0000996,0.023642,0.0002149,-4.80E-06,0.000022
